month,author,confidence,paper_summary,summary_of_strengths,summary_of_weaknesses,"comments,_suggestions_and_typos",overall_assessment,datasets,software,author_identity_guess,missed_assignments,count
2021- 05-01,Aditi Chaudhary,4.0,511.0,278.0,843.0,553.0,3.5,4.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Adrian Benton,4.0,1300.0,752.0,1018.0,1601.0,3.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Akiko Aizawa,3.0,515.0,370.0,1296.0,795.0,2.5,2.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Alexander Fraser,4.0,362.0,170.0,1444.0,1055.0,1.5,2.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Alfio Gliozzo,3.0,502.0,458.0,1467.0,380.0,2.5,4.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Anastasia Shimorina,3.0,698.0,234.0,1131.0,2040.0,3.5,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Andrea Madotto,4.0,815.0,398.0,1243.0,452.0,3.5,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Andreas Rücklé,3.0,995.0,894.0,2072.0,169.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Andrey Kutuzov,3.0,336.0,287.0,542.0,4.0,4.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Aoife Cahill,4.0,666.5,217.5,1113.0,492.5,1.5,1.0,1.0,1.0,0.0,No. of papers: 2
2021- 05-01,Arkaitz Zubiaga,5.0,429.0,108.0,225.0,1866.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Arpit Mittal,3.0,623.0,431.0,688.0,255.0,4.0,4.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Artur Kulmizev,4.0,900.0,418.0,3697.0,1711.0,2.5,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Atsushi Fujita,4.0,719.0,292.0,2356.0,1565.0,1.5,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Barbara DiEugenio,5.0,701.0,319.0,2506.0,3.0,2.0,3.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Bill Yuchen Lin,4.0,662.0,227.0,1357.0,489.0,2.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Brian Riordan,4.0,464.0,225.0,3715.0,36.0,3.0,3.0,2.0,3.0,0.0,No. of papers: 1
2021- 05-01,Carlos Gómez-Rodríguez,4.0,922.0,379.0,1886.0,1441.0,2.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Chandra Bhagavatula,3.0,262.0,197.0,419.0,933.0,4.0,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Chen-Tse Tsai,5.0,305.0,336.0,1138.0,609.0,2.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Chenhui Chu,4.0,348.0,215.0,1297.0,50.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Christopher Bryant,5.0,510.0,663.0,4653.0,3567.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Christopher Potts,4.0,491.0,366.0,1241.0,955.0,2.5,2.0,2.0,3.0,0.0,No. of papers: 1
2021- 05-01,Dan Garrette,4.0,853.0,214.0,385.0,4579.0,2.0,2.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Daniel Cer,4.0,1738.0,263.0,1168.0,618.0,3.0,1.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Daniel Fried,3.0,876.0,504.0,1276.0,1569.0,2.0,3.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,David Adelani,3.0,786.0,808.0,1332.0,383.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,David Jurgens,5.0,925.0,153.0,3653.0,1320.0,1.0,3.0,3.0,3.0,0.0,No. of papers: 1
2021- 05-01,David Vilares,3.0,973.0,632.0,1564.0,2335.0,3.5,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Dheeraj Rajagopal,5.0,549.0,342.0,3514.0,1157.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Dominik Schlechtweg,4.0,147.0,63.0,1167.0,178.0,1.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Dong Yu,4.0,535.0,591.0,430.0,71.0,4.0,3.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Dongyan Zhao,4.0,613.0,206.0,723.0,932.0,3.0,1.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Edoardo Ponti,4.0,1426.0,433.0,3347.0,879.0,2.5,1.0,2.0,3.0,0.0,No. of papers: 1
2021- 05-01,Egoitz Laparra,3.0,966.0,584.0,1303.0,2320.0,2.0,4.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Emmanuele Chersoni,3.0,540.0,389.0,866.0,279.0,3.0,3.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Fabio Massimo Zanzotto,4.0,461.0,106.0,502.0,415.0,1.5,1.0,2.0,1.0,0.0,No. of papers: 1
2021- 05-01,Florian Boudin,4.0,987.0,342.0,1935.0,28.0,2.0,2.0,3.0,1.0,0.0,No. of papers: 1
2021- 05-01,Florian Metze,3.0,489.0,488.0,775.0,32.0,1.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Francis Ferraro,4.0,746.0,703.0,1828.0,602.0,2.0,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Georg Rehm,4.0,382.0,216.0,589.0,1066.0,2.5,1.0,1.0,1.0,0.0,No. of papers: 1
2021- 05-01,Giulia Venturi,5.0,583.0,420.0,559.0,369.0,1.0,1.0,1.0,3.0,0.0,No. of papers: 1
2021- 05-01,Greg Durrett,4.0,936.5,693.0,1727.0,149.0,3.25,1.0,2.5,1.0,0.0,No. of papers: 2
2021- 05-01,Guanyi Chen,4.0,347.0,247.0,1874.0,293.0,2.0,1.0,4.0,1.0,0.0,No. of papers: 1
2021- 05-01,Guohong Fu,4.0,589.0,589.0,667.0,41.0,3.5,1.0,1.0,1.0,0.0,No. of papers: 1
